Codigo;Nome do Produto;Quantidade;Valor Unitario;Valor Total;Codigo Interno
7898133620560;MANTEIGA TOURINHO COMUM COM SAL 500G;1;31.75;31.75;756
7898929966056;LEITE PO CCGL INTEGRAL 200G;12;7.75;93;1843
7898031770015;PREDEDOR DE ROUPAS 12 UN RONNSSANNI;2;3.9;7.8;2100
7898215151708;LEITE INTEGRAL PIRACANJUBA 1LT;3;7.25;21.75;624
020152;COPO AMERICANO 150ML;7;1.5;10.5;3471
7506195143858;AMANCIANTE LIRIOS DO CAMPO DOWNY 500ML;1;11.99;11.99;633
7896098900208;LAVA LOUCAS YPE NEUTRO 500ML;15;2.8;42;1893
7891035325595;BOM AR CAMPOS DE LAVANDA 360ML;1;16.99;16.99;1223
7897312400894;DESINFETANTE ECONOMICO LAVANDA 2LT;3;6.85;20.55;635
7898962669020;SABAO PRINCESA DO MEARIM 500G;2;4.6;9.2;1222
7898215151708;LEITE INTEGRAL PIRACANJUBA 1LT;9;7.85;70.65;624
7898286200060;CAFE MARATA ALMOFADA 250G;12;8.85;106.2;621
7898133620560;MANTEIGA TOURINHO COMUM COM SAL 500G;5;31.9;159.5;756
7898056270200;PAPEL HIGIENICO PIMPO LAVANDA 4UND;3;2.5;7.5;3324
000097;APRESUNTADO AMERICANO KG;0.45;14.5;6.52;637
000092;PRESUNTO PERU SADIA KG;0.351;34.99;12.28;637
7894900031515;REF FANTA LARANJA 2LT;1;9.5;9.5;4469
7894900051513;REF FANTA UVA 2LT;1;9.5;9.5;4470
7891962064055;PAO DE FORMA INTEGRAL BAUDUCCO 390G;4;9.99;39.96;659
7897105200038;REF TUCHAUA GUARANA 2LT;1;6.99;6.99;4817
8577;CX AGUA SANITARIA ECONOMICA 1LT;1;32.4;32.4;636
2635;PILHA PANASONIC PEQUENA AA;20;1.35;27;1043
7897827600031;CAIXA TERMICA ISOESTE 7LT;3;12.7;38.1;2047
7898014282948;PANO DE CHAO TAMER 40X60CM ALVEJADO;50;5.5;275;4995
7899452032737;LAMPADA AVANT LED 50W;1;32.5;32.5;4996
7899452018977;LAMPADA LED BULBO HP AVANT 20W;3;13.5;40.5;1531
7898495144636;LAMPADA FLUORESCENTE COMPACTA KIAN 30W;2;34.6;69.2;3385
000095;QUEIJO MUSSARELA KG;0.64;49.99;31.99;4471
7891167021013;SARDINHAS COM OLEO GOMES DA COSTA 125G;6;4.99;29.94;2096
7898430866852;CARNE EM CONSERVA TARGET FIAMBRE 320G;6;10.4;62.4;2099
020385;CUBA DE OVOS CAIPIRA EXTRA 30UND;1;31;31;645
015257;PC AGUA MINERAL FLORATTA 350ML;10;13.5;135;4286
7896098902400;AMACIANTE DE ROUPAS YPE ACONCHEGO 2LT;1;12.7;12.7;4467
7898918822288;LIMPA ALUMINIO KAROL 500ML;3;1.9;5.7;634
7891035991134;BOM AR AROMA SENSE ROMANCE ROMA ROSA 360ML;1;16.99;16.99;1223
7897312400870;DESINFETANTE ECONOMICO FLORAL 2LT;1;6.85;6.85;635
7896006400035;PAPEL HIGIENICO FLORAL PERFUMADO 4UND;3;3.99;11.97;3324
7891022101003;LA DE ACO BOMBRIL 60G;1;2.9;2.9;2248
7500435198240;AMACIANTE BRISA DE VERAO DOWNY 500ML;1;11.99;11.99;633
7891035325625;BOM AR CHEIRINHO DE TALCO 360ML;1;16.99;16.99;1223
8229;PC AGUA MINERAL POLAR 12UND 500ML;1;10.5;10.5;4286
7896067203460;PILHA PANASONIC ALCALINA 9V;4;18.75;75;1383
2638;PILHA PANASONIC GRANDE D;10;3.5;35;1383
7897312400078;AGUA SANITARIA ECONOMICA BRANCA 1LT;5;2.7;13.5;636
7897312400184;LAVA LOUCAS ECONOMICO NEUTRO 500ML;6;2.1;12.6;1893
7897698206646;LIXEIRA PLUS COM PEDAL MB;1;39.9;39.9;4821
4170;BALDE;10;18;180;1053
6267;TROCA VASILHAME NOSSA AGUA 20LT;10;12;120;1720
000094;QUEIJO COMUM KG;11.6;37.99;440.68;1056
7897875400560;SABAO MARMORE PINTADO BARRA 500G;1;4.2;4.2;1222
7895098819503;RODO DESOMIX 40CM;10;6.75;67.5;753
